smell,model,strategy,weighted_precision,weighted_recall,weighted_f1
blob,llama3_1-8b,Casual,0.6431451612903226,0.25,0.1399671052631579
blob,llama3_1-8b,Confirmation-Bias,0.388671875,0.375,0.3744360902255639
blob,llama3_1-8b,Contradictory-Hint,0.32386363636363635,0.375,0.3475609756097561
blob,llama3_1-8b,EGDP,0.344429347826087,0.1875,0.1294642857142857
blob,llama3_1-8b,False-Premise,0.47879464285714285,0.1875,0.26813811188811193
data class,llama3_1-8b,Casual,0.4133633633633634,0.4666666666666667,0.37771446660335545
data class,llama3_1-8b,Confirmation-Bias,0.5555555555555556,0.17777777777777778,0.19766081871345031
data class,llama3_1-8b,Contradictory-Hint,0.08095238095238096,0.06666666666666667,0.07311827956989246
data class,llama3_1-8b,EGDP,0.4821548821548821,0.4888888888888889,0.4647619047619047
data class,llama3_1-8b,False-Premise,0.37777777777777777,0.022222222222222223,0.04197530864197531
feature envy,llama3_1-8b,Casual,0.5629370629370629,0.6060606060606061,0.5656048980857165
feature envy,llama3_1-8b,Confirmation-Bias,0.7254901960784313,0.36363636363636365,0.415915915915916
feature envy,llama3_1-8b,Contradictory-Hint,0.36363636363636365,0.09090909090909091,0.14545454545454545
feature envy,llama3_1-8b,EGDP,0.7251082251082251,0.3333333333333333,0.22866022866022864
feature envy,llama3_1-8b,False-Premise,0.0,0.0,0.0
long method,llama3_1-8b,Casual,0.7324561403508771,0.5,0.4695512820512821
long method,llama3_1-8b,Confirmation-Bias,0.6076923076923078,0.5,0.5476190476190477
long method,llama3_1-8b,Contradictory-Hint,0.7141025641025641,0.5833333333333334,0.6408730158730159
long method,llama3_1-8b,EGDP,0.4036458333333333,0.3333333333333333,0.3053830227743271
long method,llama3_1-8b,False-Premise,0.3125,0.041666666666666664,0.07352941176470588
